醫療機構名稱,地址,連絡電話,項目,longitude,latitude
睦霖復健科診所,臺北市中山區松江路274號2樓,(02)25113500,"物理治療, 職能治療, 語言治療",121.5329547,25.0597361
珂斯汀職能治療所,臺北市中山區松江路530號2樓,,職能治療,121.532984,25.066886
博士聽力所,臺北市中山區復興北路164號7樓之1,(02)27185125,語言治療,121.5437888,25.053458
邁愷爾心理治療所,臺北市中山區復興北路50號4樓,(02)27217557,心理治療,,
童樂語言治療所,臺北市中山區撫順街41巷1-6號,,語言治療,121.519415,25.063631
中山適康復健科診所,臺北市中山區龍江路268號、270號2樓-1,(02)25155150,"物理治療, 職能治療, 語言治療",,
彩虹樹職能治療所,臺北市中正區北平東路20號3樓,(02)23910586,職能治療,121.5248865,25.0458983
朗朗語言治療所,臺北市中正區忠孝西路一段45號11樓-4,,語言治療,121.5178865,25.0463586
愛迪樂物理治療所,臺北市中山區民生東路二段127巷19號,(02)25216043,"物理治療, 職能治療",121.5323626,25.059702
古亭適康復健科診所,臺北市中正區南昌路二段200號1-2樓、地下室,(02)23675885,"物理治療, 職能治療, 語言治療",121.5240723,25.0241761
懷寧復健科診所,臺北市中正區懷寧街110號,(02)23122632,"物理治療, 職能治療, 語言治療",121.513919,25.041761
夢飛翔物理治療所,臺北市中正區羅斯福路一段94號2樓,(02)23222223,職能治療,121.5199241,25.0300516
盛開兒青心理治療所,臺北市中正區羅斯福路二段10號5樓,(02)23913887,心理治療,121.5208288,25.0288584
吉兒心理治療所,臺北市中正區羅斯福路二段70號9樓,(02)23560511,心理治療,121.522008,25.027219
古亭復健診所,臺北市中正區羅斯福路三段162號一樓,(02)23680528,"職能治療, 語言治療",121.5285955,25.0198593
適康復健科診所,臺北市內湖區文德路141號143號,(02)87977566,"物理治療, 職能治療, 語言治療",121.5842986,25.0787692
紫陽復健科診所,臺北市內湖區文德路208巷8號1樓,(02)27988128,職能治療,121.5834445,25.0776949
內湖語言治療所,臺北市內湖區民權東路六段266號9樓,,語言治療,121.6047538,25.0716282
好好玩心理治療所,臺北市內湖區康寧路三段16巷78號1樓,(02)26305631,心理治療,121.608352,25.071065
祐生復健科診所,臺北市內湖區康寧路三段54-11號1樓,(02)26341998,職能治療,121.6100805,25.0709706
恆新復健科診所,臺北市內湖區瑞光路337號7樓,(02)26278666,"物理治療, 職能治療, 語言治療, 心理治療",121.5754971,25.0778433
國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟1-4樓,(02)87972121,"物理治療, 職能治療, 語言治療",121.5754083,25.0778823
嘉美言語語言治療所,臺北市文山區興隆路三段152巷16號1樓,,語言治療,121.5579607,24.9984589
文山復健科診所,臺北市文山區興隆路三段207之4號1樓,(02)22397887,職能治療,121.5597922,24.994974
合康復健科診所,臺北市文山區興隆路四段217號1-2樓,(02)29368421,"物理治療, 職能治療",121.5625156,24.9826033
萬隆力康復健科診所,臺北市文山區羅斯福路五段127號2樓、129號2樓,(02)89319799 ,"物理治療, 職能治療, 語言治療",121.5391564,25.004711
祐民聯合診所,臺北市北投區中央南路一段207號,(02)28951301,職能治療,121.5013459,25.128338
石牌實和復健診所,臺北市北投區文林北路262號1樓,(02)28273255,"物理治療, 職能治療, 語言治療",121.5133435,25.1091319
旭康復健科診所,臺北市北投區石牌路一段40號,(02)28280067,"物理治療, 職能治療, 語言治療",121.5104796,25.1130411
辰光心理治療所,臺北市北投區立農街二段202巷2弄1號,,心理治療,121.5139064,25.1183984
天母力康診所,臺北市北投區明德路365號教學大樓3樓,(02)28210866,"物理治療, 職能治療, 語言治療",121.5210206,25.1185042
家語言治療所,臺北市北投區致遠一路2段107號,(02)28217003,語言治療,121.5127529,25.1130531
稻香職能治療所-委託臺北榮民總醫院經營管理,臺北市北投區稻香路81號,(02)28956001,職能治療,121.4893527,25.1408385
安安優腦職能治療所,臺北市北投區磺港路8號7樓,(02)28912323,職能治療,121.5020468,25.1332926
悠適復健科診所,臺北市松山區光復北路11巷65.67號,(02)27493088,"物理治療, 職能治療, 語言治療",121.5600923,25.049942
正風復健科診所,臺北市松山區光復北路135號1樓,(02)27602666,"職能治療, 語言治療",121.557089,25.052812
松原復健診所,臺北市松山區光復北路206號1樓,(02)87123552,職能治療,121.5555173,25.0551967
康健診所,臺北市松山區延吉街11號2樓,(02)25779682,"物理治療, 職能治療, 心理治療",,
轉轉心理治療所,臺北市松山區南京東路四段50號9樓之6,(02)25796965,心理治療,121.5534632,25.0514424
荷普職能治療所,臺北市松山區敦化北路114、116號2樓,(02)25472315,"職能治療, 語言治療",121.5485644,25.0536176
安兒康小兒專科診所,臺北市松山區敦化北路118號,(02)77287688,心理治療,121.5484626,25.053688
六安復健科診所,臺北市信義區吳興街467巷2弄14號,(02)27296677,"物理治療, 職能治療",121.5696224,25.0237507
原力復健科診所,臺北市信義區基隆路二段145號B1、1、2樓,(02)27327091,"物理治療, 職能治療, 語言治療, 心理治療",121.555762,25.0269792
順康復健科診所,臺北市信義區莊敬路364號1、2樓,(02)23450011,"物理治療, 職能治療",121.5645773,25.0276328
開馨診所,臺北市南港區南港路二段38巷6-1號1 樓,(02)26532987,"職能治療, 語言治療, 心理治療",121.6047806,25.0547564
彭聆語言治療所,臺北市萬華區中華路一段16號,(02)23880648,語言治療,121.5093038,25.0473584
瑞生診所,臺北市萬華區西園路二段250號2樓,(02)23012788,職能治療,121.4948197,25.0280431
永康診所,臺北市萬華區桂林路47號,(02)23123455,職能治療,121.5042939,25.0380699
