醫療機構名稱,地址,連絡電話,項目
中山適康復健科診所,臺北市中山區龍江路268號、270號2樓-1,(02)25155150,"物理治療, 職能治療, 語言治療"
彩虹樹職能治療所,臺北市中正區北平東路20號3樓,(02)23910586,職能治療
朗朗語言治療所,臺北市中正區忠孝西路一段45號11樓-4,,語言治療
愛迪樂物理治療所,臺北市中山區民生東路二段127巷19號,(02)25216043,"物理治療, 職能治療"
古亭適康復健科診所,臺北市中正區南昌路二段200號1-2樓、地下室,(02)23675885,"物理治療, 職能治療, 語言治療"
懷寧復健科診所,臺北市中正區懷寧街110號,(02)23122632,"物理治療, 職能治療, 語言治療"
夢飛翔物理治療所,臺北市中正區羅斯福路一段94號2樓,(02)23222223,職能治療
盛開兒青心理治療所,臺北市中正區羅斯福路二段10號5樓,(02)23913887,心理治療
吉兒心理治療所,臺北市中正區羅斯福路二段70號9樓,(02)23560511,心理治療
古亭復健診所,臺北市中正區羅斯福路三段162號一樓,(02)23680528,"職能治療, 語言治療"
適康復健科診所,臺北市內湖區文德路141號143號,(02)87977566,"物理治療, 職能治療, 語言治療"
紫陽復健科診所,臺北市內湖區文德路208巷8號1樓,(02)27988128,職能治療
內湖語言治療所,臺北市內湖區民權東路六段266號9樓,,語言治療
好好玩心理治療所,臺北市內湖區康寧路三段16巷78號1樓,"(02)26305631",心理治療
祐生復健科診所,臺北市內湖區康寧路三段54-11號1樓,(02)26341998,職能治療
恆新復健科診所,臺北市內湖區瑞光路337號7樓,(02)26278666,"物理治療, 職能治療, 語言治療, 心理治療"
國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟1-4樓,(02)87972121,"物理治療, 職能治療, 語言治療"
嘉美言語語言治療所,臺北市文山區興隆路三段152巷16號1樓,,語言治療
文山復健科診所,臺北市文山區興隆路三段207之4號1樓,(02)22397887,職能治療
合康復健科診所,臺北市文山區興隆路四段217號1-2樓,(02)29368421,"物理治療, 職能治療"
萬隆力康復健科診所,臺北市文山區羅斯福路五段127號2樓、129號2樓,(02)89319799 ,"物理治療, 職能治療, 語言治療"
祐民聯合診所,臺北市北投區中央南路一段207號,(02)28951301,職能治療
石牌實和復健診所,臺北市北投區文林北路262號1樓,(02)28273255,"物理治療, 職能治療, 語言治療"
旭康復健科診所,臺北市北投區石牌路一段40號,(02)28280067,"物理治療, 職能治療, 語言治療"
辰光心理治療所,臺北市北投區立農街二段202巷2弄1號,,心理治療
天母力康診所,臺北市北投區明德路365號教學大樓3樓,(02)28210866,"物理治療, 職能治療, 語言治療"
家語言治療所,臺北市北投區致遠一路2段107號,(02)28217003,語言治療
稻香職能治療所-委託臺北榮民總醫院經營管理,臺北市北投區稻香路81號,(02)28956001,職能治療
安安優腦職能治療所,臺北市北投區磺港路8號7樓,(02)28912323,職能治療
悠適復健科診所,臺北市松山區光復北路11巷65.67號,(02)27493088,"物理治療, 職能治療, 語言治療"
正風復健科診所,臺北市松山區光復北路135號1樓,(02)27602666,"職能治療, 語言治療"
松原復健診所,臺北市松山區光復北路206號1樓,(02)87123552,職能治療
康健診所,臺北市松山區延吉街11號2樓,(02)25779682,"物理治療, 職能治療, 心理治療"
轉轉心理治療所,臺北市松山區南京東路四段50號9樓之6,(02)25796965,心理治療
荷普職能治療所,臺北市松山區敦化北路114、116號2樓,(02)25472315,"職能治療, 語言治療"
安兒康小兒專科診所,臺北市松山區敦化北路118號,(02)77287688,心理治療
六安復健科診所,臺北市信義區吳興街467巷2弄14號,(02)27296677,"物理治療, 職能治療"
原力復健科診所,臺北市信義區基隆路二段145號B1、1、2樓,(02)27327091,"物理治療, 職能治療, 語言治療, 心理治療"
順康復健科診所,臺北市信義區莊敬路364號1、2樓,(02)23450011,"物理治療, 職能治療"
開馨診所,臺北市南港區南港路二段38巷6-1號1 樓,(02)26532987,"職能治療, 語言治療, 心理治療"
彭聆語言治療所,臺北市萬華區中華路一段16號,(02)23880648,語言治療
瑞生診所,臺北市萬華區西園路二段250號2樓,(02)23012788,職能治療
永康診所,臺北市萬華區桂林路47號,(02)23123455,職能治療
